,Country,Code,Year,annual_co2_tonnes,gdp_2016
119,Oman,OMN,2016,64442122.56,42375.54543
120,Pakistan,PAK,2016,187405419.1,4975.6543950000005
121,Palau,PLW,2016,287141.64,18256.89903
122,Panama,PAN,2016,10195979.85,23195.811130000002
123,Papua New Guinea,PNG,2016,6936604.18,4209.043662
124,Paraguay,PRY,2016,5788550.81,12287.98588
125,Peru,PER,2016,66341186.44,13403.44727
126,Philippines,PHL,2016,119273683.3,7784.136699
127,Poland,POL,2016,322233954.5,27735.35085
128,Portugal,PRT,2016,50274791.92,31043.563860000002
129,Qatar,QAT,2016,118689789.9,123573.6308
130,Romania,ROU,2016,75051657.47,23868.0692
131,Rwanda,RWA,2016,984176.39,1973.146966
132,Samoa,WSM,2016,218389.42,6336.645501
133,Sao Tome and Principe,STP,2016,117519.47,3189.251813
134,Saudi Arabia,SAU,2016,631549206.5,54159.792389999995
135,Senegal,SEN,2016,8541600.23,3351.536617
136,Serbia,SRB,2016,43350996.18,15615.232109999999
137,Seychelles,SYC,2016,582971.55,27672.518819999998
138,Sierra Leone,SLE,2016,1235190.88,1486.0448509999999
139,Singapore,SGP,2016,62829145.54,91452.04273
140,Sint Maarten (Dutch part),SXM,2016,779857.66,34568.38463
141,Slovenia,SVN,2016,14399789.23,33191.67387
142,Solomon Islands,SLB,2016,222433.67,2271.613915
143,Somalia,SOM,2016,716839.1,
144,South Africa,ZAF,2016,468045403.7,13188.029620000001
145,South Sudan,SSD,2016,1761869.59,
146,Spain,ESP,2016,260985896.0,36554.93455
147,Sri Lanka,LKA,2016,21950727.06,12359.34586
148,Sudan,SDN,2016,17487874.86,4703.856808
149,Suriname,SUR,2016,2030780.15,14622.05054
150,Sweden,SWE,2016,42568017.92,49423.21647
151,Switzerland,CHE,2016,39204913.87,64323.92524
152,Tajikistan,TJK,2016,5579036.68,3006.511141
153,Tanzania,TZA,2016,13604691.94,2926.328043
154,Thailand,THA,2016,324834134.0,16961.26557
155,Togo,TGO,2016,2752156.74,1630.600506
